login,pursue_degree,major,scholarship,search_employment,hphno,hphno2,resume_doc,email,comments,degree,student_id,first_name,last_name,current,picture,wphno,advisement,quality,bstart_yyyy,bstart_mm,bstart_dd,bgrad_yyyy,bgrad_mm,bgrad_dd,bmentor_name,badvisor_name,bproject_title,bconcentration_doc,mstart_yyyy,mstart_mm,mstart_dd,mdef_yyyy,mdef_mm,mdef_dd,mgrad_yyyy,mgrad_mm,mgrad_dd,mcomm_member1,mcomm_member2,mcomm_member3,madvisor_name,mthesis_title,mthesis_doc,mthesis,pstart_yyyy,pstart_mm,pstart_dd,pcand_yyyy,pcand_mm,pcand_dd,pdef_yyyy,pdef_mm,pdef_dd,pgrad_yyyy,pgrad_mm,pgrad_dd,pcomm_member1,pcomm_member2,pcomm_member3,pcomm_member4,pcomm_member5,pcomm_member6,padvisor_name,pdissertation_title,pdissertation_doc,current_program,emp_name,emp_location,webaddr,job_title,refer,contact,login,school_name,login,currentlevel
siu854212345,yes,CS,no,no,7901971234,none,none,jack.anderson@siu.edu,none,B,854212345,Jack,Anderson,current,none,none,mt,mt,2015,Jan,16,2019,May,11,Edward,Dr. Tessema Mengistu,AI Program,Artificial Intelligence,2019,Aug,15,2020,Apr,11,2020,May,10,Dr. Wang,Dr. Henry Hexmoor,Dr. Khalid Ahmed,Dr. Tessema Mengistu,Amazon Web Service,none,yes,2022,Jan,4,2022,Jan,3,2027,Jan,6,2027,May,11,Dr.  Michelle Zhu,Dr.  Neda Saeedloei,Dr.  Nicholas CK Phillips,Dr.  Qiang Cheng,Dr.  Shiva Houshmand,Dr.  Spyros Tragoudas,Dr.  Koushik Sinha,Artificial Intelligence,none,Bachelors,Amazon,California,amazon.com,none,no,no,siu85402638,UIUC,siu85402638,Senior
siu854312345,yes,CS,no,no,8001973643,none,none,ravi.gunnasigan@siu.edu,none,B,854312345,Ravi,Gunnasigan,current,none,none,mt,mt,2015,Jan,16,2019,May,11,Brian,Dr. Tessema Mengistu,AI Program,Artificial Intelligence,2019,Aug,15,2020,Apr,11,2020,May,10,Dr. Wang,Dr. Henry Hexmoor,Dr. Khalid Ahmed,Dr. Tessema Mengistu,Amazon Web Service,none,yes,2022,Jan,4,2022,Jan,3,2027,Jan,6,2027,May,11,Dr.  Michelle Zhu,Dr.  Neda Saeedloei,Dr.  Nicholas CK Phillips,Dr.  Qiang Cheng,Dr.  Shiva Houshmand,Dr.  Spyros Tragoudas,Dr.  Koushik Sinha,Artificial Intelligence,none,Bachelors,Amazon,California,amazon.com,none,no,no,siu85402638,UIUC,siu85402638,Senior
siu854412345,yes,CS,no,no,8011973623,none,none,annie.edgar@siu.edu,none,B,854412345,Annie,Edgar,current,none,none,mt,mt,2015,Jan,16,2019,May,11,Franklin,Dr. Tessema Mengistu,AI Program,Artificial Intelligence,2019,Aug,15,2020,Apr,11,2020,May,10,Dr. Wang,Dr. Henry Hexmoor,Dr. Khalid Ahmed,Dr. Tessema Mengistu,Amazon Web Service,none,yes,2022,Jan,4,2022,Jan,3,2027,Jan,6,2027,May,11,Dr.  Michelle Zhu,Dr.  Neda Saeedloei,Dr.  Nicholas CK Phillips,Dr.  Qiang Cheng,Dr.  Shiva Houshmand,Dr.  Spyros Tragoudas,Dr.  Koushik Sinha,Artificial Intelligence,none,Bachelors,Amazon,California,amazon.com,none,no,no,siu85402638,UIUC,siu85402638,Senior
siu854512345,yes,CS,no,no,3001233245,none,none,heather.cassady@siu.edu,none,B,854512345,Heather,Cassady,current,none,none,mt,mt,2015,Jan,16,2019,May,11,Lora,Dr. Tessema Mengistu,AI Program,Artificial Intelligence,2019,Aug,15,2020,Apr,11,2020,May,10,Dr. Wang,Dr. Henry Hexmoor,Dr. Khalid Ahmed,Dr. Tessema Mengistu,Amazon Web Service,none,yes,2022,Jan,4,2022,Jan,3,2027,Jan,6,2027,May,11,Dr.  Michelle Zhu,Dr.  Neda Saeedloei,Dr.  Nicholas CK Phillips,Dr.  Qiang Cheng,Dr.  Shiva Houshmand,Dr.  Spyros Tragoudas,Dr.  Koushik Sinha,Artificial Intelligence,none,Bachelors,Amazon,California,amazon.com,none,no,no,siu85402638,UIUC,siu85402638,Senior
siu854612345,yes,CS,no,no,6185467128,none,none,tony.rogers@siu.edu,none,B,854612345,Tony,Rogers,current,none,none,mt,mt,2015,Jan,16,2019,May,11,Noor,Dr. Tessema Mengistu,AI Program,Artificial Intelligence,2019,Aug,15,2020,Apr,11,2020,May,10,Dr. Wang,Dr. Henry Hexmoor,Dr. Khalid Ahmed,Dr. Tessema Mengistu,Amazon Web Service,none,yes,2022,Jan,4,2022,Jan,3,2027,Jan,6,2027,May,11,Dr.  Michelle Zhu,Dr.  Neda Saeedloei,Dr.  Nicholas CK Phillips,Dr.  Qiang Cheng,Dr.  Shiva Houshmand,Dr.  Spyros Tragoudas,Dr.  Koushik Sinha,Artificial Intelligence,none,Bachelors,Amazon,California,amazon.com,none,no,no,siu85402638,UIUC,siu85402638,Senior
siu854712345,yes,CS,no,no,6189954325,none,none,samantha.thompson@siu.edu,none,B,854712345,Samantha,Thompson,current,none,none,mt,mt,2015,Jan,16,2019,May,11,Eddie,Dr. Tessema Mengistu,AI Program,Artificial Intelligence,2019,Aug,15,2020,Apr,11,2020,May,10,Dr. Wang,Dr. Henry Hexmoor,Dr. Khalid Ahmed,Dr. Tessema Mengistu,Amazon Web Service,none,yes,2022,Jan,4,2022,Jan,3,2027,Jan,6,2027,May,11,Dr.  Michelle Zhu,Dr.  Neda Saeedloei,Dr.  Nicholas CK Phillips,Dr.  Qiang Cheng,Dr.  Shiva Houshmand,Dr.  Spyros Tragoudas,Dr.  Koushik Sinha,Artificial Intelligence,none,Bachelors,Amazon,California,amazon.com,none,no,no,siu85402638,UIUC,siu85402638,Senior
siu854812345,yes,CS,no,no,6187683491,none,none,bruce.wood@siu.edu,none,B,854812345,Bruce,Wood,current,none,none,mt,mt,2015,Jan,16,2019,May,11,Brock,Dr. Tessema Mengistu,AI Program,Artificial Intelligence,2019,Aug,15,2020,Apr,11,2020,May,10,Dr. Wang,Dr. Henry Hexmoor,Dr. Khalid Ahmed,Dr. Tessema Mengistu,Amazon Web Service,none,yes,2022,Jan,4,2022,Jan,3,2027,Jan,6,2027,May,11,Dr.  Michelle Zhu,Dr.  Neda Saeedloei,Dr.  Nicholas CK Phillips,Dr.  Qiang Cheng,Dr.  Shiva Houshmand,Dr.  Spyros Tragoudas,Dr.  Koushik Sinha,Artificial Intelligence,none,Bachelors,Amazon,California,amazon.com,none,no,no,siu85402638,UIUC,siu85402638,Senior
siu854912345,yes,CS,no,no,6183651902,none,none,evan.johnson@siu.edu,none,B,854912345,Evan,Johnson,current,none,none,mt,mt,2015,Jan,16,2019,May,11,Zoe,Dr. Tessema Mengistu,AI Program,Artificial Intelligence,2019,Aug,15,2020,Apr,11,2020,May,10,Dr. Wang,Dr. Henry Hexmoor,Dr. Khalid Ahmed,Dr. Tessema Mengistu,Amazon Web Service,none,yes,2022,Jan,4,2022,Jan,3,2027,Jan,6,2027,May,11,Dr.  Michelle Zhu,Dr.  Neda Saeedloei,Dr.  Nicholas CK Phillips,Dr.  Qiang Cheng,Dr.  Shiva Houshmand,Dr.  Spyros Tragoudas,Dr.  Koushik Sinha,Artificial Intelligence,none,Bachelors,Amazon,California,amazon.com,none,no,no,siu85402638,UIUC,siu85402638,Senior
siu855012345,yes,CS,no,no,6187623643,none,none,abbie.collin@siu.edu,none,B,855012345,Abbie,Collin,current,none,none,mt,mt,2015,Jan,16,2019,May,11,Olivia,Dr. Tessema Mengistu,AI Program,Artificial Intelligence,2019,Aug,15,2020,Apr,11,2020,May,10,Dr. Wang,Dr. Henry Hexmoor,Dr. Khalid Ahmed,Dr. Tessema Mengistu,Amazon Web Service,none,yes,2022,Jan,4,2022,Jan,3,2027,Jan,6,2027,May,11,Dr.  Michelle Zhu,Dr.  Neda Saeedloei,Dr.  Nicholas CK Phillips,Dr.  Qiang Cheng,Dr.  Shiva Houshmand,Dr.  Spyros Tragoudas,Dr.  Koushik Sinha,Artificial Intelligence,none,Bachelors,Amazon,California,amazon.com,none,no,no,siu85402638,UIUC,siu85402638,Senior
siu855112345,yes,CS,no,no,6185673643,none,none,abdul.ali@siu.edu,none,B,855112345,Abdullah,Ali,current,none,none,mt,mt,2015,Jan,16,2019,May,11,Jason,Dr. Tessema Mengistu,AI Program,Artificial Intelligence,2019,Aug,15,2020,Apr,11,2020,May,10,Dr. Wang,Dr. Henry Hexmoor,Dr. Khalid Ahmed,Dr. Tessema Mengistu,Amazon Web Service,none,yes,2022,Jan,4,2022,Jan,3,2027,Jan,6,2027,May,11,Dr.  Michelle Zhu,Dr.  Neda Saeedloei,Dr.  Nicholas CK Phillips,Dr.  Qiang Cheng,Dr.  Shiva Houshmand,Dr.  Spyros Tragoudas,Dr.  Koushik Sinha,Artificial Intelligence,none,Bachelors,Amazon,California,amazon.com,none,no,no,siu85402638,UIUC,siu85402638,Senior
