login,pursue_degree,major,scholarship,search_employment,hphno,hphno2,resume_doc,email,comments,degree,student_id,first_name,last_name,current,picture,wphno,advisement,quality,bstart_yyyy,bstart_mm,bstart_dd,bgrad_yyyy,bgrad_mm,bgrad_dd,bmentor_name,badvisor_name,bproject_title,bconcentration_doc,mstart_yyyy,mstart_mm,mstart_dd,mdef_yyyy,mdef_mm,mdef_dd,mgrad_yyyy,mgrad_mm,mgrad_dd,mcomm_member1,mcomm_member2,mcomm_member3,madvisor_name,mthesis_title,mthesis_doc,mthesis,pstart_yyyy,pstart_mm,pstart_dd,pcand_yyyy,pcand_mm,pcand_dd,pdef_yyyy,pdef_mm,pdef_dd,pgrad_yyyy,pgrad_mm,pgrad_dd,pcomm_member1,pcomm_member2,pcomm_member3,pcomm_member4,pcomm_member5,pcomm_member6,padvisor_name,pdissertation_title,pdissertation_doc,current_program,emp_name,emp_location,webaddr,job_title,refer,contact,login,school_name,login,currentlevel
siu853012345,yes,CS,no,no,3121234567,none,none,muthu.sam@cs.siu.edu,none,M,853012345,Muthu,Sam,current,none,none,ex,mt,2013,Aug,16,2017,May,10,Phillip,Dr. Dunren Che,Web App,Web Developing,2017,Aug,16,2019,Apr,11,2019,May,10,Dr.  Bardh Hoxha,Dr. Bidyut Gupta,Dr. Kousik Sinha,Dr.  Banafsheh Rekabdar,SHA512,none,yes,2022,Jan,4,2022,Jan,3,2027,Jan,6,2027,May,11,Dr.  Michelle Zhu,Dr.  Neda Saeedloei,Dr.  Nicholas CK Phillips,Dr.  Qiang Cheng,Dr.  Shiva Houshmand,Dr.  Spyros Tragoudas,Dr.  Koushik Sinha,Artificial Intelligence,none,Master,Google,California,google.com,t9,yes,no,siu851234567,SIUC,siu851234567,Master
siu853112345,yes,CS,no,no,7731234567,none,none,john.doe@siu.edu,none,M,853112345,John,Doe,current,none,none,ex,ex,2013,Aug,16,2017,May,11,Jared,Dr. Tessema Mengistu,Hospital Search,Database,2017,Aug,15,2019,Apr,11,2019,May,10,Dr.  Banafsheh Rekabdar,Dr. Wang,Dr. Tessema Mengistu,Dr. Bidyut Gupta,Android Security,none,yes,2022,Mar,4,2022,Mar,3,2027,Mar,6,2027,Jul,11,Dr.  Michelle Zhu,Dr.  Neda Saeedloei,Dr.  Nicholas CK Phillips,Dr.  Qiang Cheng,Dr.  Shiva Houshmand,Dr.  Spyros Tragoudas,Dr.  Koushik Sinha,Artificial Intelligence,none,Master,Google,California,google.com,none,no,no,siu85402638,SIUC,siu85402638,Master
siu853212345,yes,CS,no,no,8721234567,none,none,janedoe@siu.edu,none,M,853212345,Jane,Doe,current,none,none,mt,ex,2013,Aug,16,2017,May,11,Kevin,Dr. Tessema Mengistu,Fun Game,Game and Graphic,2018,Aug,15,2020,Apr,11,2020,May,10,Dr. Norman Carver,Dr. Khalid Ahmed,Dr. Tessema Mengistu,Dr. Kousik Sinha,Virtual Reality,none,yes,2022,Apr,4,2022,Apr,3,2027,Apr,6,2027,Aug,11,Dr.  Michelle Zhu,Dr.  Neda Saeedloei,Dr.  Nicholas CK Phillips,Dr.  Qiang Cheng,Dr.  Shiva Houshmand,Dr.  Spyros Tragoudas,Dr.  Koushik Sinha,Artificial Intelligence,none,Master,Google,California,google.com,none,no,no,siu85402638,SIUC,siu85402638,Master
siu853312345,yes,CS,no,no,3126004321,none,none,ashley.lee@siu.edu,none,M,853312345,Ashley,Lee,current,none,none,mt,mt,2013,Aug,16,2017,May,11,Arthur,Dr. Tessema Mengistu,Library Search,Database,2018,Aug,15,2020,Apr,11,2020,May,10,Dr. Neda Saedloei,Dr. Tessema Mengistu,Dr. Bidyut Gupta,Dr. Henry Hexmoor,3D Gaming,none,yes,2022,May,4,2022,May,3,2027,May,6,2027,Sep,11,Dr.  Michelle Zhu,Dr.  Neda Saeedloei,Dr.  Nicholas CK Phillips,Dr.  Qiang Cheng,Dr.  Shiva Houshmand,Dr.  Spyros Tragoudas,Dr.  Koushik Sinha,Artificial Intelligence,none,Master,Google,California,google.com,none,no,no,siu85402638,SIUC,siu85402638,Master
siu853412345,yes,CS,no,no,7737895678,none,none,howard.muller@siu.edu,none,M,853412345,Howard,Muller,current,none,none,mt,mt,2014,Aug,16,2018,May,11,Madison,Dr. Bardh Hoxha,Mobile Robotics,Robotics,2018,Aug,15,2020,Apr,11,2020,May,10,Dr. Dunren Che,Dr. Xiao Lan Huang,Dr.  Bardh Hoxha,Dr. Norman Carver,Machine Learning and Its Effects,none,yes,2022,Jun,4,2022,Jun,3,2027,Jun,6,2027,Oct,11,Dr.  Michelle Zhu,Dr.  Neda Saeedloei,Dr.  Nicholas CK Phillips,Dr.  Qiang Cheng,Dr.  Shiva Houshmand,Dr.  Spyros Tragoudas,Dr.  Koushik Sinha,Artificial Intelligence,none,Master,Google,California,google.com,none,no,no,siu85402638,SIUC,siu85402638,Master
siu853512345,yes,CS,no,no,7216933733,none,none,tepps@siu.edu,none,M,853512345,Tod,Epps,current,none,none,mt,mt,2014,Aug,16,2018,Dec,11,Norman,Dr. Tessema Mengistu,Social Media Kid,Security,2019,Aug,15,2020,Apr,11,2020,May,10,Dr. Tessema Mengistu,Dr.  Bardh Hoxha,Dr. Norman Carver,Dr. Khalid Ahmed,NoSQL Database,none,yes,2022,Jul,4,2022,Jul,3,2027,Jul,6,2027,Nov,11,Dr.  Michelle Zhu,Dr.  Neda Saeedloei,Dr.  Nicholas CK Phillips,Dr.  Qiang Cheng,Dr.  Shiva Houshmand,Dr.  Spyros Tragoudas,Dr.  Koushik Sinha,Artificial Intelligence,none,Master,Amazon,California,amazon.com,none,no,no,siu85402638,SIUC,siu85402638,Master
siu853612345,yes,CS,no,no,4517025690,none,none,pat.vargas@siu.edu,none,B,853612345,Patricia,Vargas,current,none,none,mt,mt,2015,Aug,16,2019,Dec,11,Jeff,Dr. Bardh Hoxha,VR Cave,Game and Graphic,2019,Aug,15,2020,Apr,11,2020,May,10,Dr. Bidyut Gupta,Dr. Kousik Sinha,Dr. Wang,Dr. Neda Saedloei,Digital Signature,none,yes,2022,Aug,4,2022,Aug,3,2027,Aug,6,2027,Dec,11,Dr.  Michelle Zhu,Dr.  Neda Saeedloei,Dr.  Nicholas CK Phillips,Dr.  Qiang Cheng,Dr.  Shiva Houshmand,Dr.  Spyros Tragoudas,Dr.  Koushik Sinha,Artificial Intelligence,none,Bachelors,Amazon,California,amazon.com,none,no,no,siu85402638,SIUC,siu85402638,Senior
siu853712345,yes,CS,no,no,2305242210,none,none,rachel.pulley@siu.edu,none,B,853712345,Rachel,Pulley,current,none,none,mt,mt,2015,Aug,16,2019,May,11,Maxwell,Dr. Tessema Mengistu,VM Guacamole,Network,2018,Aug,15,2020,Apr,11,2020,May,10,Dr. Henry Hexmoor,Dr. Dunren Che,Dr.  Banafsheh Rekabdar,Dr. Wang,E - Commerce,none,yes,2022,Sep,4,2022,Sep,3,2027,Sep,6,2027,Jan,11,Dr.  Michelle Zhu,Dr.  Neda Saeedloei,Dr.  Nicholas CK Phillips,Dr.  Qiang Cheng,Dr.  Shiva Houshmand,Dr.  Spyros Tragoudas,Dr.  Koushik Sinha,Artificial Intelligence,none,Bachelors,Amazon,California,amazon.com,none,no,no,siu85402638,UIUC,siu85402638,Senior
siu853812345,yes,CS,no,no,6441289292,none,none,thomas.jackson@siu.edu,none,B,853812345,Thomas,Jackson,current,none,none,mt,mt,2015,Aug,16,2019,May,11,James,Dr. Tessema Mengistu,Medication System,Database,2018,Aug,15,2020,Apr,11,2020,May,10,Dr. Bidyut Gupta,Dr. Dunren Che,Dr.  Banafsheh Rekabdar,Dr. Xiao Lan Huang,Modern Architecture,none,yes,2022,Oct,4,2022,Oct,3,2027,Oct,6,2027,Feb,11,Dr.  Michelle Zhu,Dr.  Neda Saeedloei,Dr.  Nicholas CK Phillips,Dr.  Qiang Cheng,Dr.  Shiva Houshmand,Dr.  Spyros Tragoudas,Dr.  Koushik Sinha,Artificial Intelligence,none,Bachelors,Amazon,California,amazon.com,none,no,no,siu85402638,UIUC,siu85402638,Senior
siu853912345,yes,CS,no,no,3937984944,none,none,deshawn.hart@siu.edu,none,B,853912345,Deshawn,Hart,current,none,none,mt,mt,2015,Jan,16,2019,May,11,Andy,Dr. Tessema Mengistu,Eating Healthy,Network,2019,Aug,15,2020,Apr,11,2020,May,10,Dr. Khalid Ahmed,Dr. Kousik Sinha,Dr. Henry Hexmoor,Dr.  Bardh Hoxha,AutoMobile,none,yes,2022,Nov,4,2022,Nov,3,2027,Nov,6,2027,Mar,11,Dr.  Michelle Zhu,Dr.  Neda Saeedloei,Dr.  Nicholas CK Phillips,Dr.  Qiang Cheng,Dr.  Shiva Houshmand,Dr.  Spyros Tragoudas,Dr.  Koushik Sinha,Artificial Intelligence,none,Bachelors,Amazon,California,amazon.com,none,no,no,siu85402638,UIUC,siu85402638,Senior
