login,pursue_degree,major,scholarship,search_employment,hphno,hphno2,resume_doc,email,comments,degree,student_id,first_name,last_name,current,picture,wphno,advisement,quality,bstart_yyyy,bstart_mm,bstart_dd,bgrad_yyyy,bgrad_mm,bgrad_dd,bmentor_name,badvisor_name,bproject_title,bconcentration_doc,mstart_yyyy,mstart_mm,mstart_dd,mdef_yyyy,mdef_mm,mdef_dd,mgrad_yyyy,mgrad_mm,mgrad_dd,mcomm_member1,mcomm_member2,mcomm_member3,madvisor_name,mthesis_title,mthesis_doc,mthesis,pstart_yyyy,pstart_mm,pstart_dd,pcand_yyyy,pcand_mm,pcand_dd,pdef_yyyy,pdef_mm,pdef_dd,pgrad_yyyy,pgrad_mm,pgrad_dd,pcomm_member1,pcomm_member2,pcomm_member3,pcomm_member4,pcomm_member5,pcomm_member6,padvisor_name,pdissertation_title,pdissertation_doc,current_program,emp_name,emp_location,webaddr,job_title,refer,contact,login,school_name,login
siu851111119,yes,CS,yes,no,6185322718,unknown,none,trent.spicer@cs.siu.edu,t1,B,851111119,Trent,Spicer,current,none,none,ex,mt,1985,Jan,1,1985,May,1,Chris Peterman,Dr.  Alison Watts,t4,,1985,Jan,2,1985,Jan,3,1985,May,2,Dr.  Bardh Hoxha,Dr.  Fezcan Jale,Dr.  Kenneth Danhof,Dr.  Banafsheh Rekabdar,t5,/spare/cs_thesis_mgmt/200001102.pdf,yes,1985,Jan,4,1985,Jan,5,1985,Jan,6,1985,May,3,Dr.  Michelle Zhu,Dr.  Neda Saeedloei,Dr.  Nicholas CK Phillips,Dr.  Qiang Cheng,Dr.  Shiva Houshmand,Dr.  Spyros Tragoudas,Dr.  Koushik Sinha,t6,none,Bachelors,ARMILLAIR Technologies,t7,t8,t9,yes,no,fakenews,King Saud University,fakenews
siu854026138,no,CS,no,no,6185592618,none,none,zhikang.wong@siu.edu,none,B,854026138,Zhi Kang,Wong,current,none,none,none,none,2016,Aug,16,2019,May,11,michael,tessema,sims,database,0,none,0,0,none,0,0,none,0,none,none,none,none,none,none,none,0,none,0,0,none,0,0,none,0,0,none,0,none,none,none,none,none,none,none,none,none,Bachelors,none,none,none,none,no,no,siu85402638,SIUC,siu85402638
siu853512345,no,CS,no,no,6185192619,none,none,test@siu.edu,none,B,853512345,John,Doe,current,none,none,none,none,2016,Aug,16,2019,May,11,michael,tessema,sims,database,0,none,0,0,none,0,0,none,0,none,none,none,none,none,none,none,0,none,0,0,none,0,0,none,0,0,none,0,none,none,none,none,none,none,none,none,none,Bachelors,none,none,none,none,no,no,siu85402638,SIUC,siu85402638
siu853612345,no,CS,no,no,6185582318,none,none,test@siu.edu,none,B,853612345,Jane,Doe,current,none,none,none,none,2016,Aug,16,2019,May,11,michael,tessema,sims,database,0,none,0,0,none,0,0,none,0,none,none,none,none,none,none,none,0,none,0,0,none,0,0,none,0,0,none,0,none,none,none,none,none,none,none,none,none,Bachelors,none,none,none,none,no,no,siu85402638,SIUC,siu85402638
siu853712345,no,CS,no,no,6185693618,none,none,test@siu.edu,none,M,853712345,Ashley,Lee,current,none,none,none,none,2016,Aug,16,2019,May,11,michael,tessema,sims,database,0,none,0,0,none,0,0,none,0,none,none,none,none,none,none,none,0,none,0,0,none,0,0,none,0,0,none,0,none,none,none,none,none,none,none,none,none,Bachelors,none,none,none,none,no,no,siu85402638,SIUC,siu85402638
siu853812345,no,CS,no,no,6183592638,none,none,test@siu.edu,none,M,853812345,Howard,Muller,current,none,none,none,none,2016,Aug,16,2019,May,11,michael,tessema,sims,database,0,none,0,0,none,0,0,none,0,none,none,none,none,none,none,none,0,none,0,0,none,0,0,none,0,0,none,0,none,none,none,none,none,none,none,none,none,Bachelors,none,none,none,none,no,no,siu85402638,SIUC,siu85402638
siu853912345,no,CS,no,no,6185092608,none,none,test@siu.edu,none,B,853912345,Todd,Epps,current,none,none,none,none,2016,Aug,16,2019,May,11,michael,tessema,sims,database,0,none,0,0,none,0,0,none,0,none,none,none,none,none,none,none,0,none,0,0,none,0,0,none,0,0,none,0,none,none,none,none,none,none,none,none,none,Bachelors,none,none,none,none,no,no,siu85402638,SIUC,siu85402638
siu854012345,no,CS,no,no,6185492418,none,none,test@siu.edu,none,B,854012345,Kat,Vargas,current,none,none,none,none,2016,Aug,16,2019,May,11,michael,tessema,sims,database,0,none,0,0,none,0,0,none,0,none,none,none,none,none,none,none,0,none,0,0,none,0,0,none,0,0,none,0,none,none,none,none,none,none,none,none,none,Bachelors,none,none,none,none,no,no,siu85402638,SIUC,siu85402638
siu854112345,no,CS,no,no,6185293618,none,none,test@siu.edu,none,B,854112345,Rachel,Pulley,current,none,none,none,none,2016,Aug,16,2019,May,11,michael,tessema,sims,database,0,none,0,0,none,0,0,none,0,none,none,none,none,none,none,none,0,none,0,0,none,0,0,none,0,0,none,0,none,none,none,none,none,none,none,none,none,Bachelors,none,none,none,none,no,no,siu85402638,SIUC,siu85402638
siu854212345,no,CS,no,no,6182592418,none,none,test@siu.edu,none,B,854212345,Thomas,Jackson,current,none,none,none,none,2016,Aug,16,2019,May,11,michael,tessema,sims,database,0,none,0,0,none,0,0,none,0,none,none,none,none,none,none,none,0,none,0,0,none,0,0,none,0,0,none,0,none,none,none,none,none,none,none,none,none,Bachelors,none,none,none,none,no,no,siu85402638,SIUC,siu85402638
siu854312345,no,CS,no,no,6186595618,none,none,test@siu.edu,none,B,854312345,Deshawn,Hart,current,none,none,none,none,2016,Aug,16,2019,May,11,michael,tessema,sims,database,0,none,0,0,none,0,0,none,0,none,none,none,none,none,none,none,0,none,0,0,none,0,0,none,0,0,none,0,none,none,none,none,none,none,none,none,none,Bachelors,none,none,none,none,no,no,siu85402638,SIUC,siu85402638
siu854412345,no,CS,no,no,6185692018,none,none,test@siu.edu,none,B,854412345,Keith,Chong,current,none,none,none,none,2016,Aug,16,2019,May,11,michael,tessema,sims,database,0,none,0,0,none,0,0,none,0,none,none,none,none,none,none,none,0,none,0,0,none,0,0,none,0,0,none,0,none,none,none,none,none,none,none,none,none,Bachelors,none,none,none,none,no,no,siu85402638,SIUC,siu85402638
